year,subunit,age,f
2003,2,4,0.5679230101745201
2003,2,5,0.7128799427578401
2003,2,6,0.7735779261210001
2003,2,7,0.79059824785084
2003,2,8,0.7947368
2004,2,1,0.037637610669347
2004,2,2,0.158219366366646
2004,2,3,0.38621181546935
2004,2,4,0.6008007782972651
2004,2,5,0.75414944766863
2004,2,6,0.818361312643875
2004,2,7,0.8363669619290051
2004,2,8,0.8407451
2005,2,1,0.032537846980887
2005,2,2,0.13678119946236597
2005,2,3,0.33388147468635
2005,2,4,0.519394388819565
2005,2,5,0.6519648535752299
2005,2,6,0.707476236996375
2005,2,7,0.723042184218105
2005,2,8,0.7268271
2006,2,1,0.03094131805308
2006,2,2,0.13006977993143998
2006,2,3,0.317498969934
2006,2,4,0.4939093538946
2006,2,5,0.6199750065132
2006,2,6,0.6727626224550001
2006,2,7,0.6875647980282
2006,2,8,0.691164
2007,2,1,0.031910442373034004
2007,2,2,0.13414374299941198
2007,2,3,0.3274434710957
2007,2,4,0.50937926910283
2007,2,5,0.63939347005586
2007,2,6,0.69383446619025
2007,2,7,0.70910026610911
2007,2,8,0.7128122
2008,2,1,0.033604800560382
2008,2,2,0.141266412957276
2008,2,3,0.3448298338311
2008,2,4,0.53642593066209
2008,2,5,0.67334353405878
2008,2,6,0.73067519985075
2008,2,7,0.74675157245853
2008,2,8,0.7506606
2009,2,1,0.045670270962453505
2009,2,2,0.12692244251079798
2009,2,3,0.30186284627334
2009,2,4,0.5649237300343999
2009,2,5,0.787407190730435
2009,2,6,0.8867002841524299
2009,2,7,0.917635112545635
2009,2,8,0.9263353
2010,2,1,0.050198012670340006
2010,2,2,0.13950550857351998
2010,2,3,0.3317894696616
2010,2,4,0.620930157856
2010,2,5,0.8654705852194
2010,2,6,0.9746075764532
2010,2,7,1.0086092776674
2010,2,8,1.018172
2011,2,1,0.029481227979454502
2011,2,2,0.08193140492742598
2011,2,3,0.19485952682057997
2011,2,4,0.3646714793928
2011,2,5,0.508289756407845
2011,2,6,0.5723857703414099
2011,2,7,0.5923549255302449
2011,2,8,0.5979711
2012,2,1,0.04241035234833
2012,2,2,0.11786278895123999
2012,2,3,0.2803160437092
2012,2,4,0.524599787472
2012,2,5,0.7312025021253
2012,2,6,0.8234081096033999
2012,2,7,0.8521348271013001
2012,2,8,0.860214
2013,2,1,0.042084514802475
2013,2,2,0.11695725245429998
2013,2,3,0.27816238341899996
2013,2,4,0.52056930204
2013,2,5,0.7255846938397499
2013,2,6,0.8170818882254999
2013,2,7,0.84558789915975
2013,2,8,0.853605
2014,2,1,0.029147822562017003
2014,2,2,0.08100483652667599
2014,2,3,0.19265584582307999
2014,2,4,0.3605473822928
2014,2,5,0.50254146944597
2014,2,6,0.5659126167526599
2014,2,7,0.58565593926837
2014,2,8,0.5912086
2015,2,1,0.019877712336080502
2015,2,2,0.05524223412855399
2015,2,3,0.13138399875281997
2015,2,4,0.24587967535119998
2015,2,5,0.342714271206505
2015,2,6,0.38593099636288997
2015,2,7,0.39939519543610497
2015,2,8,0.4031819
2016,2,1,0.019592573669648002
2016,2,2,0.05444980405894399
2016,2,3,0.12949934233152
2016,2,4,0.24235261944319997
2016,2,5,0.33779815769168
2016,2,6,0.38039495439904
2016,2,7,0.39366601435728
2016,2,8,0.3973984
2017,2,1,0.0330097789186045
2017,2,2,0.09173761571362599
2017,2,3,0.21818188526658
2017,2,4,0.40831830075279996
2017,2,5,0.569125970509345
2017,2,6,0.6408935119084099
2017,2,7,0.663252736511745
2017,2,8,0.6695411
2018,2,1,0.020045472574737003
2018,2,2,0.055708457314835994
2018,2,3,0.13249282911588
2018,2,4,0.24795480514079998
2018,2,5,0.34560664770117
2018,2,6,0.38918810537826
2018,2,7,0.40276593710757
2018,2,8,0.4065846
2019,2,1,0.0206300721661995
2019,2,2,0.05733312050328599
2019,2,3,0.13635680655437998
2019,2,4,0.2551860778008
2019,2,5,0.35568580668829497
2019,2,6,0.40053825971150997
2019,2,7,0.414512070874695
2019,2,8,0.4184421
